feature,importance
velocity_kmh,0.0046487912087911365
merchant_long_deviation,0.0013573626373625913
category_shopping_net,0.0012210989010988493
amt_zscore,0.0010101098901098339
distance_from_prev,0.0007358241758240736
amt_deviation_from_median,0.0005213186813186165
distance_from_home,0.0005134065934065291
merchant_lat_deviation,0.00044747252747248114
is_amount_high,0.0004439560439559953
category_grocery_pos,0.00042901098901093615
category_kids_pets,0.00041142857142848486
distance_log,0.00039736263736256383
amt_sqrt,0.0003472527472526465
amt_percentile_in_history,0.00025406593406587243
combined_zscore,0.00023296703296697973
gender_M,0.000196043956043912
category_food_dining,0.00017230769230767163
category_home,0.00013098901098897996
trans_sequence,0.00012747252747244975
amt_log,0.00010549450549446338
time_gap_zscore,8.703296703291841e-05
category_gas_transport,8.52747252746866e-05
merchant_diversity,8.43956043955263e-05
merchant_concentration,8.175824175822299e-05
anomaly_flag_count,7.384615384611326e-05
is_business_hours,5.8901098901009694e-05
category_usage_count,4.747252747248076e-05
amt_ratio_to_mean,4.3076923076856846e-05
category_misc_net,2.725274725265958e-05
category_personal_care,2.373626373621818e-05
category_grocery_net,1.8461538461478356e-05
day_of_week,1.7582417582384658e-05
trans_per_day,1.0549450549368622e-05
is_weekend,9.67032967025272e-06
is_round_amount,1.7582417582318044e-06
category_misc_pos,1.7582417581873955e-06
is_impossible_velocity,0.0
is_very_distant,0.0
is_very_fast_velocity,0.0
high_risk_combination,0.0
is_distance_anomaly,0.0
is_very_round,0.0
is_amount_extreme,0.0
category_health_fitness,-8.7912087920472e-07
is_new_category,-8.791208791159022e-06
category_concentration,-1.2307692307778062e-05
cust_trans_count,-3.604395604406285e-05
category_travel,-3.6923076923178756e-05
merchant_usage_count,-4.747252747256958e-05
category_shopping_pos,-5.274725274733161e-05
is_new_merchant,-6.593406593409234e-05
time_since_last_hours,-7.91208791209419e-05
category_diversity,-8.351648351654362e-05
day_of_month,-0.00011164835164840791
is_late_night,-0.00011252747252754602
amt_original,-0.00014593406593412794
distance_zscore,-0.0001626373626374633
is_first_trans,-0.00018109890109896387
month,-0.0001872527472528196
hour,-0.0001916483516484435
is_early_morning,-0.00023824175824185278
novelty_score,-0.00026637362637369486
cust_dist_mean,-0.0002848351648352176
is_quick_succession,-0.0002989010989011831
is_very_quick,-0.0003472527472528464
time_since_last_log,-0.0004052747252747846
cust_amt_mean,-0.00046065934065939727
cust_amt_std,-0.0005626373626374193
