feature,coefficient,abs_coefficient
is_local_transaction,-0.5233547496419935,0.5233547496419935
distance_from_home,0.3762629048894593,0.3762629048894593
is_distant_transaction,0.2663100647578967,0.2663100647578967
amt,0.15940990610334527,0.15940990610334527
amt_ratio_to_avg,0.1185287255147508,0.1185287255147508
merchant_fraud_rate,0.06305620865358895,0.06305620865358895
amt_deviation,0.05716531882411778,0.05716531882411778
amt_log,0.0562540486543573,0.0562540486543573
is_high_risk_hour,0.05075586726555468,0.05075586726555468
gender_M,0.04453970724358865,0.04453970724358865
category_count,-0.03389449854794475,0.03389449854794475
amt_above_median,-0.033466098499778454,0.033466098499778454
is_new_merchant,0.03182737312005807,0.03182737312005807
month,-0.026079462564298276,0.026079462564298276
time_of_day_evening,0.025922003859476603,0.025922003859476603
category_fraud_rate,0.02317618276867302,0.02317618276867302
time_of_day_morning,-0.02213567578568281,0.02213567578568281
category_grocery_pos,0.018952793288512904,0.018952793288512904
customer_trans_count,-0.017011631349478296,0.017011631349478296
time_of_day_afternoon,-0.015143623828525044,0.015143623828525044
is_typical_category,0.014336615584323233,0.014336615584323233
hour,0.013080827207429167,0.013080827207429167
category_health_fitness,-0.010430747460474935,0.010430747460474935
time_since_last_trans_hours,-0.00906960511859938,0.00906960511859938
category_kids_pets,-0.008717555210492743,0.008717555210492743
category_shopping_net,0.008710034632400146,0.008710034632400146
category_misc_net,0.008688827756340757,0.008688827756340757
is_weekend,-0.008682689866474911,0.008682689866474911
is_quick_succession,0.007498552605883645,0.007498552605883645
day_of_month,-0.007426829408093074,0.007426829408093074
category_personal_care,0.006493750530079417,0.006493750530079417
category_food_dining,-0.00565010340282527,0.00565010340282527
category_misc_pos,-0.005272156031223112,0.005272156031223112
day_of_week,-0.0044756702374735445,0.0044756702374735445
category_shopping_pos,0.003349441541769587,0.003349441541769587
category_grocery_net,-0.00306490489753125,0.00306490489753125
category_travel,-0.002811086035270363,0.002811086035270363
category_home,0.0027261073340761202,0.0027261073340761202
category_gas_transport,0.0018273860777282503,0.0018273860777282503
merchant_usage_count,-0.0016674477565328401,0.0016674477565328401
